Date,ANDAMAN & NICOBAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DADRA & NAGAR HAVE,DAMAN & DIU,DELHI,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KARNATAKA,KERALA,LADAKH,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TELANGANA,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL
3/8/2020,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,15,0,1,1,0,7,0,0
3/9/2020,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,1,9,2,0,2,0,0,0,0,0,0,1,15,0,1,1,0,7,0,0
3/10/2020,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,4,15,2,0,5,0,0,0,0,0,0,1,15,0,1,1,0,7,0,0
3/11/2020,0,0,0,0,0,0,0,0,0,5,0,0,14,0,1,0,4,17,2,0,2,0,0,0,0,0,0,1,3,0,1,1,0,9,0,0
3/12/2020,0,1,0,0,0,0,0,0,0,6,0,0,14,0,1,0,4,17,3,0,11,0,0,0,0,0,0,1,3,0,1,1,0,11,0,0
3/13/2020,0,1,0,0,0,0,0,0,0,6,0,0,14,0,1,0,6,19,3,0,14,0,0,0,0,0,0,1,3,0,1,1,0,11,0,0
3/14/2020,0,1,0,0,0,0,0,0,0,7,0,0,14,0,2,0,6,19,3,0,14,0,0,0,0,0,0,1,3,0,1,1,0,12,0,0
3/15/2020,0,1,0,0,0,0,0,0,0,7,0,0,14,0,2,0,6,22,3,0,32,0,0,0,0,0,0,1,4,0,1,3,0,13,1,0
3/16/2020,0,1,0,0,0,0,0,0,0,7,0,0,14,0,3,0,6,23,4,0,32,0,0,0,0,1,0,1,4,0,1,3,0,13,1,0
3/17/2020,0,1,0,0,0,0,0,0,0,8,0,0,15,0,3,0,11,26,6,0,39,0,0,0,0,1,0,1,4,0,1,5,0,15,1,0
3/18/2020,0,1,0,0,0,0,0,0,0,10,0,0,17,0,3,0,11,27,8,0,42,0,0,0,0,1,1,1,4,0,1,6,0,16,1,1
3/19/2020,0,2,0,0,0,1,1,0,0,12,0,0,17,0,4,0,14,27,8,0,47,0,0,0,0,1,1,2,7,0,2,6,0,19,1,1
3/20/2020,0,3,0,0,0,1,1,0,0,17,0,5,17,0,4,0,15,28,10,0,52,0,0,0,0,2,1,2,17,0,3,17,0,23,3,2
3/21/2020,0,3,0,0,0,1,1,0,0,26,0,7,17,2,4,0,15,40,13,4,63,0,0,0,0,2,1,13,17,0,3,21,0,24,3,3
3/22/2020,0,5,0,0,2,5,1,0,0,29,0,18,21,2,4,0,26,52,13,4,67,0,0,0,0,2,1,21,24,0,7,22,0,27,3,4
3/23/2020,0,7,0,0,2,6,1,0,0,29,0,29,26,2,4,0,33,67,13,6,74,0,0,0,0,2,1,21,28,0,9,32,0,31,3,7
3/24/2020,0,8,0,0,3,7,1,0,0,30,0,33,28,3,4,0,37,95,13,7,89,1,0,0,0,2,1,29,32,0,15,35,0,33,4,9
3/25/2020,0,9,0,0,4,7,1,0,0,31,0,38,28,3,7,0,41,109,13,14,128,1,0,1,0,2,1,29,36,0,18,35,0,37,4,9
3/26/2020,1,11,0,0,6,7,6,0,0,36,3,43,30,3,13,0,55,118,13,20,124,1,0,1,0,2,1,33,41,0,26,44,0,41,5,10
3/27/2020,1,12,0,0,6,7,6,0,0,36,3,43,30,3,13,0,55,137,13,20,130,1,0,1,0,2,1,33,41,0,29,45,0,41,5,10
